timestamp,accuracy,d0,d1,d2
90960638510998,3,-0.63087213,0.36750996,9.992201
90960648509540,3,-0.5758055,0.36032736,9.974244
90960658535217,3,-0.40701428,0.36631286,10.011354
90960668541884,3,-0.10534488,0.35553896,9.993398
90960678538290,3,0.05626374,0.35793316,9.992201
90960688532457,3,0.17597382,0.35673606,10.028113
90960698566102,3,0.35194764,0.35434186,9.992201
90960708556988,3,0.36511576,0.36152446,10.007763
90960718546832,3,0.24660277,0.35913026,10.0341
90960728541571,3,-0.025139118,0.36032736,9.981427
90960738556102,3,-0.18315643,0.36631286,10.032902
90960748700373,3,-0.2885013,0.36032736,10.043676
90960758517352,3,-0.4321534,0.36631286,10.011354
90960768506207,3,-0.4249708,0.35913026,10.05445
90960778501519,3,-0.31004912,0.36272156,10.030508
90960788507040,3,-0.095768064,0.35553896,10.010158
90960798506050,3,0.1340753,0.35553896,10.0341
90960808514696,3,0.25258827,0.35793316,10.004171
90960818554436,3,0.427365,0.35673606,10.010158
90960828517613,3,0.47524905,0.36272156,10.022128
90960838540373,3,0.37948096,0.36152446,9.998186
90960848565530,3,0.10654198,0.36032736,10.006566
90960858530842,3,-0.21308395,0.36631286,10.020931
90960868568394,3,-0.35194764,0.35673606,10.018537
90960878528186,3,-0.5315128,0.35553896,9.994595
90960888531988,3,-0.5566519,0.34715924,9.996989
90960898579227,3,-0.4417302,0.35075054,10.001778
90960908517717,3,-0.22625206,0.35314476,9.994595
90960918536675,3,0.09816227,0.34835634,9.995792
90960928511936,3,0.25498247,0.35194764,9.999383
90960938563290,3,0.39863458,0.33997664,9.996989
90960948574175,3,0.49081135,0.33997664,10.000581
90960958499957,3,0.40940848,0.34117374,10.000581
90960968510894,3,0.110133275,0.33758244,9.975441
90960978497352,3,-0.25977087,0.35314476,9.988609
90960988504904,3,-0.4261679,0.35553896,9.983821
90960998516675,3,-0.581791,0.36391866,9.973047
90961008554748,3,-0.6380547,0.36511576,9.985018
90961018549957,3,-0.5303157,0.35673606,9.9790325
90961028539957,3,-0.33399114,0.35793316,9.975441
90961038539540,3,-0.017956512,0.34715924,10.001778
90961048566832,3,0.15203181,0.34715924,9.970653
90961058529904,3,0.2705448,0.34117374,9.967062
90961068535582,3,0.39504328,0.33758244,9.995792
90961078505113,3,0.39504328,0.33877954,9.957485
90961088499852,3,0.35075054,0.33877954,9.957485
90961098520634,3,0.12689269,0.33399114,9.977836
90961108511675,3,-0.18435353,0.34117374,9.991004
90961118508134,3,-0.35553896,0.34356794,9.965864
90961128500321,3,-0.48243165,0.34476504,9.993398
90961138514852,3,-0.58298814,0.34715924,9.986216
90961148576259,3,-0.5602432,0.33638534,9.973047
90961158563550,3,-0.4189853,0.34237084,10.0029745
90961168548550,3,-0.17477672,0.33638534,9.977836
90961178517821,3,0.044292733,0.34117374,10.0029745
90961188534071,3,0.17956513,0.34356794,9.994595
90961198597196,3,0.35793316,0.34237084,9.9790325
90961208545529,3,0.40701428,0.34835634,9.999383
90961218533342,3,0.32561144,0.34955344,9.989806
90961228598134,3,0.075417355,0.34955344,9.992201
90961238514123,3,-0.16519992,0.35434186,10.01734
90961248509227,3,-0.30166942,0.34596214,9.989806
90961258524279,3,-0.47644615,0.34715924,9.994595
90961268514123,3,-0.48243165,0.33877954,9.998186
90961278500217,3,-0.36870706,0.34237084,9.975441
90961288517509,3,-0.1604115,0.34596214,9.996989
90961298564592,3,0.1376666,0.34356794,9.993398
90961308543342,3,0.272939,0.35314476,9.985018
90961318514384,3,0.44891283,0.34596214,10.014946
90961328506571,3,0.5422867,0.35194764,10.006566
90961338508186,3,0.45729253,0.35553896,10.018537
90961348504019,3,0.17836803,0.35434186,10.031705
90961358516363,3,-0.18674773,0.36391866,10.001778
90961368514175,3,-0.33877954,0.35913026,10.01734
90961378497613,3,-0.5386954,0.36990416,10.00896
90961388502873,3,-0.5327099,0.36750996,9.992201
90961398512196,3,-0.45489833,0.36631286,10.0029745
90961408531727,3,-0.25378537,0.36990416,10.011354
90961418520008,3,0.075417355,0.35673606,9.981427
90961428499800,3,0.19752164,0.36391866,10.010158
90961438520686,3,0.32561144,0.35075054,10.004171
90961448508498,3,0.4405331,0.34955344,9.991004
90961458509800,3,0.39264908,0.34835634,9.998186
90961468608863,3,0.18195933,0.34715924,10.000581
90961478515113,3,-0.1328782,0.35553896,9.991004
90961488536831,3,-0.2825158,0.35553896,10.020931
90961498596363,3,-0.4189853,0.36152446,10.016143
90961508553342,3,-0.50757074,0.36631286,10.011354
90961518596154,3,-0.45729253,0.35673606,10.018537
90961528537508,3,-0.30047232,0.36391866,10.01734
90961538502352,3,-0.03232172,0.35434186,10.01734
90961548510686,3,0.10654198,0.35793316,10.011354
90961558509175,3,0.20111294,0.35793316,10.012551
90961568508290,3,0.37349546,0.35194764,10.000581
90961578499696,3,0.37349546,0.35673606,9.986216
90961588509383,3,0.25019407,0.34955344,9.994595
90961598505425,3,-0.046686932,0.34715924,9.9790325
90961608509331,3,-0.23582886,0.34237084,9.996989
90961618511988,3,-0.36032736,0.33399114,9.993398
90961628518133,3,-0.50637364,0.33997664,9.980229
90961638511310,3,-0.49440265,0.33159694,9.999383
90961648603602,3,-0.39743748,0.33638534,9.987412
90961658530113,3,-0.18076223,0.33039984,9.973047
90961668527404,3,-0.18076223,0.33039984,9.999383
90961678502456,3,0.07182605,0.33758244,9.999383
90961688510165,3,0.20111294,0.34237084,9.969456
90961698509956,3,0.37349546,0.34117374,9.987412
90961708558915,3,0.4309563,0.34835634,9.996989
90961718509331,3,0.34715924,0.34715924,9.985018
90961728896102,3,0.08619126,0.34955344,10.028113
90961738510790,3,-0.22864626,0.35553896,10.001778
90961748507873,3,-0.40462008,0.34596214,9.980229
90961758510894,3,-0.59615624,0.35673606,10.007763
90961768515842,3,-0.59256494,0.35194764,9.977836
90961778499904,3,-0.47524905,0.35194764,9.982624
90961788504956,3,-0.2645593,0.35673606,10.0029745
90961798509071,3,0.06584055,0.34596214,9.969456
90961808510269,3,0.22266077,0.35314476,10.006566
90961818588498,3,0.39384618,0.34237084,10.010158
90961828590373,3,0.51116204,0.33997664,9.986216
90961838523446,3,0.4381389,0.34117374,10.014946
90961848587821,3,0.15442601,0.33877954,9.986216
90961858546258,3,-0.18794483,0.35194764,9.983821
90961868602144,3,-0.36870706,0.35434186,9.989806
90961878555373,3,-0.5674258,0.36152446,9.977836
90961888556935,3,-0.6979098,0.36750996,9.97185
90961898509748,3,-0.6667852,0.36391866,9.974244
90961908516206,3,-0.48722005,0.37110126,9.973047
90961918530946,3,-0.18794483,0.35913026,9.973047
90961928496935,3,-0.04189853,0.35553896,9.961076
90961938503394,3,0.11252748,0.34356794,9.956287
90961948534904,3,0.30047232,0.33518824,9.961076
90961958600165,3,0.3196259,0.33997664,9.981427
90961968528133,3,0.20350714,0.33159694,9.975441
90961978513862,3,-0.074220255,0.32920274,9.94312
90961988517717,3,-0.21547815,0.33039984,9.977836
90961998570425,3,-0.3172317,0.33399114,9.988609
90962008532612,3,-0.4333505,0.34715924,9.989806
90962018571883,3,-0.40701428,0.33997664,10.011354
90962028527717,3,-0.29209262,0.34715924,10.006566
90962038502508,3,-0.055066638,0.33758244,9.985018
90962048511727,3,0.1364695,0.34715924,10.029311
90962058545425,3,0.24899697,0.35075054,10.0029745
90962068507925,3,0.39264908,0.34835634,9.991004
90962078499852,3,0.4165911,0.36032736,10.023325
90962088507873,3,0.32561144,0.36152446,9.992201
90962098515008,3,0.009576807,0.36391866,9.985018
90962108550946,3,-0.2633622,0.36750996,10.036493
90962118527664,3,-0.40581718,0.35913026,9.993398
90962128497352,3,-0.5805939,0.36391866,10.005369
90962138511362,3,-0.58897364,0.35673606,10.012551
90962148504487,3,-0.47165772,0.35434186,9.965864
90962158512977,3,-0.25258827,0.34955344,9.992201
