EL1,EL2,EL3,EL4,EL5,EL6,EL7,EL8,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,RL1,RL2,RL3,RL4,RL5,RL6,RL7,RL8,RR1,RR2,RR3,RR4,RR5,RR6,RR7,RR8,class
3.983207283,2.839145003,1.293481117,0.314698106,0.252166544,0.19780813,0.111287403,0.030871534,1.80548623,1.211655851,0.805960232,0.197928013,0.27985412,0.018245114,0.128268003,0.072661823,0.104745772,0.09736923,0.055859959,0.012702979,0.01495078,0.013878763,0.007630277,0.001095414,0.153105895,0.121196839,0.072263225,0.024930807,0.009853243,0.007477779,0.001273843,0.003761999,OH
5.148192784,2.032144857,1.407743873,0.611240997,0.194312926,0.189870935,0.046310985,0.032842789,6.259453838,3.350419513,1.995681682,0.547533373,0.439577601,0.250470644,0.149360323,0.019075282,0.246644717,0.189081307,0.112087297,0.030698253,0.017927364,0.025091856,0.003853938,0.000533074,0.463516283,0.282688675,0.217033143,0.060563099,0.071305077,0.084259805,0.029205912,0.024594998,OH
0.952149773,0.473389905,0.344062186,0.125099736,0.04783568,0.018403973,0.009450343,0.000650093,1.051442419,0.921635878,0.638909685,0.153005308,0.058323015,0.063665502,0.009325044,0.006921435,0.116006058,0.18341705,0.057822713,0.01335057,0.017720407,0.008490354,0.003133105,0.003063164,0.098126978,0.118838971,0.045772511,0.021545727,0.011589736,0.010321616,0.006391487,0.002937153,OH
6.789666661,7.348985961,2.422748379,1.208675,1.016225554,0.792800056,0.098795766,0.513751626,1.785326561,1.30856322,1.004100592,0.19741259,0.138458579,0.021404846,0.072068702,0.004646371,0.073416823,0.051791744,0.045421651,0.008285452,0.004105123,0.003812198,0.002341291,0.00059907,0.076703296,0.087120521,0.043023109,0.010043013,0.022751429,0.015290728,0.013201044,0.018790463,OH
2.941291987,2.325734372,1.552161243,0.279418541,0.350855143,0.092609271,0.036500428,0.008138147,5.865922645,4.557570924,2.036296952,0.439277819,0.242916884,0.131428888,0.068425002,0.033983603,0.126801777,0.089833118,0.058406156,0.009613852,0.008674883,0.005518124,0.006834271,0.000213606,0.190032925,0.165383748,0.060536723,0.014145422,0.07523187,0.062257153,0.057636067,0.050376345,OH
3.346532054,1.464672146,0.8863373,0.289168975,0.122306594,0.048849076,0.016880063,0.022205734,10.95477217,4.432186683,4.243727553,1.142699192,1.861161462,0.908463907,0.917037428,1.007553162,0.389781822,0.353031545,0.155930594,0.047610488,0.030766247,0.060258697,0.007808151,0.007465871,0.498112172,0.268372718,0.244413843,0.052380841,0.033244147,0.011863766,0.002731784,0.00187575,OH
9.922457165,3.931088352,3.09534422,0.917172925,0.158192187,0.3027019,0.275882208,0.017563812,1.380997391,0.760977309,0.603224095,0.140821711,0.146884671,0.085866592,0.063868031,0.021148607,0.068499057,0.076834894,0.047529325,0.006651572,0.012009007,0.003257433,0.006109038,0.001106453,0.088605954,0.066810969,0.047022429,0.018178597,0.012234778,0.001808746,0.004469749,8.35E-05,OH
5.618892135,2.688117651,1.516702926,0.57766959,0.478982507,0.163511705,0.273714063,0.172543809,3.187759215,2.96930487,1.278223974,0.32939811,0.884116016,0.50457396,0.349542749,0.546170209,0.286472064,0.185322537,0.151206915,0.035887339,0.015502742,0.021311854,0.005702117,0.008486202,0.199674259,0.492828437,0.093470804,0.044848213,0.038692357,0.015393595,0.008235226,0.011745067,OH
1.864797002,1.232268471,0.594739991,0.139645798,0.159337591,0.199778687,0.010555002,0.058570763,2.148597621,2.435041905,1.403137953,0.348558706,0.273402193,0.132567312,0.025212561,0.022025734,0.145703639,0.092435728,0.060687509,0.015199815,0.032445211,0.017391477,0.013862568,0.007570285,0.106068881,0.106554816,0.070555226,0.013850447,0.015462132,0.012567756,0.00446099,0.001674741,OH
2.650496114,1.392772011,0.955471443,0.337880252,0.495178579,0.206476599,0.228891941,0.124120455,11.06167679,2.739418229,2.595251303,1.204244777,0.639023177,0.254783572,0.096668639,0.215258759,1.084540177,0.749193294,0.428739691,0.050999308,0.079280467,0.022195214,0.039533407,0.022924942,0.258792141,0.182962658,0.084779901,0.026623314,0.014840665,0.01495826,0.002110218,0.001982178,OH
379.7207109,193.3100007,90.60880928,52.55115536,80.14116118,30.14192632,28.30206434,64.3589926,20.92545512,8.389901828,6.334596291,1.12008031,3.368162283,1.482146528,1.674160837,0.899718925,1.820354588,1.271674061,0.630601871,0.27283965,0.210838196,0.04980044,0.0392895,0.048767001,5.763460067,2.903428828,1.758505177,0.475330486,0.318855413,0.418853115,0.154747886,0.19254388,PD
2.936909774,3.09063851,1.244979637,0.640344441,0.39314094,0.098231092,0.011044468,0.00703164,0.90878262,0.834319206,0.225774316,0.080980671,0.085272737,0.026892522,0.048221364,0.017311536,0.224465232,0.211884702,0.090279778,0.043817018,0.023742175,0.010863283,0.003111607,0.000350207,2.891279188,1.54286378,0.749213623,0.190043068,0.348705371,0.083289211,0.070847132,0.127625224,PD
7.561756536,5.804085711,1.493386327,1.18142369,0.68079931,0.158612776,0.061594906,0.146117028,17.31454414,9.103339513,8.883961738,0.912809398,1.714750192,0.561549123,0.825256024,0.075097015,0.721662901,0.628775649,0.290319273,0.068903015,0.104137878,0.029947339,0.017567216,0.01461709,0.388270295,0.285798131,0.136409341,0.037925136,0.022929211,0.007407458,0.006214922,0.00535818,PD
1.093401067,1.370621904,0.729637672,0.171722802,0.135429378,0.082796055,0.010347151,0.042099789,164.6949429,383.9041974,22.4423171,9.329463781,17.19721435,14.52809765,8.376443452,2.027575306,0.868519631,1.682244399,0.187607172,0.153854558,0.202170466,0.015126872,0.041621432,0.042436021,79.21803476,183.4568106,13.34719197,19.88601923,20.62464114,3.152565778,4.080153413,0.162276474,PD
16.6645627,14.26343437,2.875655,1.285653431,2.085490908,0.36078134,0.166169745,0.022428459,8.214418752,16.53872129,3.228175991,1.217139119,2.359785455,0.527372164,0.781385442,1.24712022,5.779777949,16.84261781,1.583647736,0.990476277,1.639042421,0.535040785,0.231876896,0.00677819,0.969829015,1.742255761,0.242034412,0.136281934,0.123804208,0.054450435,0.01524841,0.004591925,PD
1.653155697,0.814271699,0.617883333,0.097941865,0.090104429,0.044344295,0.003250059,0.022791038,1.764650507,1.066209376,0.419099652,0.160120401,0.097820748,0.068006833,0.032991589,0.028594958,9.671709562,18.18441272,6.768487175,1.302710874,1.940811473,0.61116596,0.200172732,0.2758757,0.314773855,0.186433802,0.125305287,0.02408779,0.066186496,0.025485031,0.057499012,0.030236313,PD
8.436458302,6.743829599,3.194708941,1.164136352,0.64433372,0.332619366,0.055224142,0.057667164,8.741381631,4.672552363,2.327023399,1.011197208,0.321586738,0.257907133,0.189861249,0.131217439,0.100114699,0.092280696,0.062671535,0.021840335,0.023689874,0.008053276,0.014020621,0.007535173,0.195893567,0.214803903,0.079112123,0.043169236,0.020863995,0.007360599,0.007138502,0.010358049,PD
13.92327187,7.167694839,5.258942701,1.429877411,1.14221595,0.524367642,0.219040776,0.057243577,546.513688,580.2709843,59.87963965,148.1029345,62.04750295,0.532854263,7.594701994,0.023575506,1.205836465,1.069461529,0.445275135,0.101370913,0.262223704,0.116980451,0.106509081,0.129206654,1.786226776,1.215682964,0.521461616,0.16524512,0.148793975,0.031429359,0.00452067,0.021285727,PD
23.89914062,18.0761567,6.985624207,2.552606081,1.092119902,0.5753685,0.245081177,0.00105629,4.893631259,4.160485848,2.58533397,0.760823903,0.373356576,0.220878055,0.052349268,0.092072106,66.94712447,79.63230041,3.78034705,1.993832381,3.447706188,1.729595247,2.023131817,0.821507405,1.256291065,1.610170107,0.441595815,0.158912179,0.177032415,0.105404465,0.068530764,0.01829211,PD
938.6220915,782.0923702,107.5195238,168.603977,54.20725662,40.46977594,0.561153242,9.095489394,59.93042704,39.27572421,15.04784181,3.019148938,13.99268993,4.960104753,7.250648876,4.983849844,0.224175958,0.18861643,0.06796777,0.030562993,0.016756313,0.007111869,0.012080183,0.002012056,25.67911381,31.03624864,3.422413408,6.671452668,0.802689765,2.160560047,0.124873069,0.003556562,PD
28.1388137,14.6327959,8.615026732,3.970997024,1.401088553,2.425624018,2.265506515,0.798941759,5.077879657,4.405229538,1.586670034,0.457343011,0.506648577,0.132130899,0.248066423,0.080538214,0.775248947,0.9436766,0.20596333,0.076726212,0.137468878,0.030093906,0.085457171,0.029996097,0.315558457,0.431715526,0.17748717,0.022456763,0.032892106,0.009771505,0.00190487,0.002502868,PD
83.86454963,35.33274843,23.62304656,2.921850789,3.163133553,1.28533769,1.507626431,0.026652828,2.65906066,1.540527821,0.78451451,0.275182873,0.58473633,0.203182775,0.256582187,0.206559373,0.206591485,0.270895621,0.095716538,0.023363788,0.03833239,0.018854427,0.003298784,0.005605879,0.073797571,0.090605364,0.090177672,0.011711424,0.013776791,0.011430066,0.006718437,0.002419133,PD
11.01793511,18.53307,2.978572434,1.424200666,3.98315577,2.482271338,4.616243482,1.832442875,3.215561104,4.172764236,1.215989128,0.250580117,0.473149997,0.513354236,0.128421175,0.048727856,4.534265108,12.22915863,1.191023834,0.36606276,0.713533884,1.829819994,0.822173573,0.745105833,0.752574585,1.202626523,0.27508515,0.113633596,0.205826835,0.044093316,0.047868266,0.080055501,PD
30.4885724,16.52339403,7.458261897,2.650589622,1.381760001,0.408562986,0.558298064,0.224908385,25.85837895,17.18215831,5.963446264,3.622268215,0.722175912,1.158871509,0.481604757,0.40685337,0.682828198,0.707738601,0.135060865,0.084501449,0.061314733,0.03043729,0.015425534,0.002778825,0.99320977,1.193468497,0.33782857,0.134270595,0.155338999,0.041389853,0.054704408,0.057352951,PD
789.0036685,1709.641157,391.2636774,359.1344244,112.765454,85.28658938,38.79164963,19.19119606,348.4052514,385.3504883,155.6061386,26.92709754,28.32960381,24.06125868,4.251518435,0.636610545,0.184107224,0.276302573,0.114862956,0.036883121,0.031803358,0.022235947,0.008850346,0.012260978,14.57332464,19.93694848,10.16612695,2.031146158,1.632397558,0.869663068,0.759009839,0.049902302,PD
